filing_number,time_filed,form_type,skeda_lines,skedb_lines,skede_lines,other_lines,total_lines
963219,10/20 09:01 PM,F3XN,4,5,0,0,9
963218,10/20 09:00 PM,F6N,3,0,0,0,3
963217,10/20 08:59 PM,F3XN,27,36,0,43,106
963216,10/20 08:59 PM,F3XN,117,242,0,341,700
963215,10/20 08:59 PM,F3XN,1344,157,3,26,1530
963214,10/20 08:59 PM,F3XN,16,12,0,2,30
963213,10/20 08:57 PM,F6N,5,0,0,0,5
963212,10/20 08:54 PM,F6N,8,0,0,0,8
963211,10/20 08:54 PM,F3XN,512,25,0,81,618
963210,10/20 08:52 PM,F3N,0,0,0,11,11
963209,10/20 08:52 PM,F99,0,0,0,0,0
963208,10/20 08:50 PM,F3XN,10,19,0,0,29
963207,10/20 08:50 PM,F3XN,0,0,0,0,0
963206,10/20 08:49 PM,F3XN,13,20,0,0,33
963205,10/20 08:46 PM,F6N,2,0,0,0,2
963204,10/20 08:45 PM,F3A,84,55,0,0,139
963203,10/20 08:44 PM,F3XN,0,0,0,0,0
963202,10/20 08:42 PM,F6N,2,0,0,0,2
963201,10/20 08:40 PM,F3XN,10,18,0,0,28
963200,10/20 08:39 PM,F3XN,31,14,0,0,45
963199,10/20 08:35 PM,F3XN,62,5,0,62,129
963198,10/20 08:34 PM,F6N,1,0,0,0,1
963197,10/20 08:34 PM,F3XN,31,182,0,90,303
963196,10/20 08:33 PM,F3XN,0,1,0,0,1
963195,10/20 08:32 PM,F6N,1,0,0,0,1
963194,10/20 08:32 PM,F3N,15,31,0,0,46
963193,10/20 08:32 PM,F3XN,295,21,0,95,411
963192,10/20 08:30 PM,F3N,50,11,0,3,64
963191,10/20 08:28 PM,F3XN,49,148,0,217,414
963190,10/20 08:28 PM,F5N,1,0,1,0,2
963189,10/20 08:27 PM,F3XN,6,1,0,0,7
963188,10/20 08:27 PM,F6N,6,0,0,0,6
963187,10/20 08:26 PM,F3XA,6,15,0,0,21
963186,10/20 08:24 PM,F3XN,224,23,0,80,327
963185,10/20 08:24 PM,F3XN,196,165,0,182,543
963184,10/20 08:23 PM,F6N,4,0,0,0,4
963183,10/20 08:23 PM,F3XN,315,22,0,0,337
963182,10/20 08:23 PM,F3XN,0,0,0,0,0
963181,10/20 08:18 PM,F3XN,111,43,0,90,244
963180,10/20 08:17 PM,F3XN,21,2,0,0,23
963179,10/20 08:17 PM,F3XN,125,191,0,114,430
963178,10/20 08:17 PM,F6N,2,0,0,0,2
963177,10/20 08:14 PM,F6N,3,0,0,0,3
963176,10/20 08:14 PM,F3XN,78,27,0,91,196
963175,10/20 08:14 PM,F6N,1,0,0,0,1
963174,10/20 08:11 PM,F6N,5,0,0,0,5
963173,10/20 08:06 PM,F3XN,0,0,0,0,0
963172,10/20 08:06 PM,F6N,3,0,0,0,3
963171,10/20 08:05 PM,F3N,0,0,0,0,0
963170,10/20 08:04 PM,F6N,1,0,0,0,1
963169,10/20 08:02 PM,F3XN,0,5,0,0,5
963168,10/20 08:02 PM,F3XN,21,1,0,21,43
963167,10/20 08:02 PM,F3XN,10,0,0,48,58
963166,10/20 08:01 PM,F6N,4,0,0,0,4
963165,10/20 08:00 PM,F6N,11,0,0,0,11
963164,10/20 08:00 PM,F6N,6,0,0,0,6
963163,10/20 08:00 PM,F3XA,5138,822,67,7,6034
963162,10/20 08:00 PM,F3XN,13,2,0,1,16
963161,10/20 08:00 PM,F3N,4,8,0,11,23
963160,10/20 07:55 PM,F3XN,199,24,0,201,424
963159,10/20 07:53 PM,F3XN,5,18,0,0,23
963158,10/20 07:53 PM,F3XN,197,67,0,44,308
963157,10/20 07:53 PM,F3XN,32,0,0,0,32
963156,10/20 07:52 PM,F3XN,0,8,0,0,8
963155,10/20 07:51 PM,F3XN,0,0,0,0,0
963154,10/20 07:49 PM,F3XN,10,0,0,0,10
963153,10/20 07:49 PM,F24N,0,0,42,0,42
963152,10/20 07:48 PM,F3XN,29,34,21,0,84
963151,10/20 07:48 PM,F24A,0,0,15,0,15
963150,10/20 07:48 PM,F99,0,0,0,0,0
963149,10/20 07:47 PM,F3XN,238,14,0,0,252
963148,10/20 07:47 PM,F3XN,1,3,0,0,4
963147,10/20 07:47 PM,F24A,0,0,15,0,15
963146,10/20 07:47 PM,F3XN,3,15,0,0,18
963145,10/20 07:45 PM,F99,0,0,0,0,0
963144,10/20 07:44 PM,F6N,4,0,0,0,4
963143,10/20 07:43 PM,F6N,2,0,0,0,2
963142,10/20 07:43 PM,F3N,43,9,0,0,52
963141,10/20 07:42 PM,F3XN,0,2,0,0,2
963140,10/20 07:42 PM,F24N,0,0,1,0,1
963139,10/20 07:41 PM,F3XN,22,1,0,0,23
963138,10/20 07:41 PM,F3XN,3,0,0,1,4
963137,10/20 07:41 PM,F3XN,0,0,0,0,0
963136,10/20 07:41 PM,F24N,0,0,1,0,1
963135,10/20 07:39 PM,F6N,2,0,0,0,2
963134,10/20 07:38 PM,F24N,0,0,1,0,1
963133,10/20 07:37 PM,F6N,1,0,0,0,1
963132,10/20 07:37 PM,F3XN,3,1,0,0,4
963131,10/20 07:36 PM,F24N,0,0,1,0,1
963130,10/20 07:35 PM,F3XN,79,1,0,0,80
963129,10/20 07:35 PM,F3XN,55,52,0,0,107
963128,10/20 07:35 PM,F3XN,57,4,0,1,62
963127,10/20 07:34 PM,F3XN,6,1,0,0,7
963126,10/20 07:33 PM,F6N,10,0,0,0,10
963125,10/20 07:33 PM,F3XN,0,0,0,0,0
963124,10/20 07:33 PM,F24N,0,0,1,0,1
963123,10/20 07:31 PM,F6N,1,0,0,0,1
963122,10/20 07:29 PM,F3XN,24,0,0,0,24
963121,10/20 07:29 PM,F3XA,26,9,0,0,35
963120,10/20 07:29 PM,F3XN,0,168,0,0,168
963119,10/20 07:29 PM,F3XN,22,4,0,21,47
963118,10/20 07:27 PM,F3XN,0,1,0,0,1
963117,10/20 07:27 PM,F3XN,0,3,0,0,3
963116,10/20 07:25 PM,F3XN,13,0,0,0,13
963115,10/20 07:25 PM,F3XN,92,0,0,168,260
963114,10/20 07:25 PM,F3XN,2,1,0,0,3
963113,10/20 07:24 PM,F3XN,1,105,0,0,106
963112,10/20 07:22 PM,F24N,0,0,1,0,1
963111,10/20 07:22 PM,F3XN,36,0,0,0,36
963110,10/20 07:21 PM,F3XN,146,16,0,2,164
963109,10/20 07:20 PM,F3XN,853,227,0,174,1254
963108,10/20 07:20 PM,F3XN,0,0,0,0,0
963107,10/20 07:20 PM,F6N,1,0,0,0,1
963106,10/20 07:19 PM,F6N,2,0,0,0,2
963105,10/20 07:19 PM,F6N,2,0,0,0,2
963104,10/20 07:18 PM,F3N,15,20,0,4,39
963103,10/20 07:18 PM,F3XN,461,291,0,508,1260
963102,10/20 07:17 PM,F3XN,0,1,0,0,1
963101,10/20 07:16 PM,F3XN,26,13,0,56,95
963100,10/20 07:14 PM,F3XN,0,1,0,0,1
963099,10/20 07:14 PM,F24N,0,0,1,0,1
963098,10/20 07:13 PM,F6N,16,0,0,0,16
963097,10/20 07:13 PM,F24N,0,0,1,0,1
963096,10/20 07:12 PM,F3XN,0,1,0,0,1
963095,10/20 07:10 PM,F3XN,0,0,0,0,0
963094,10/20 07:10 PM,F3XN,13,4,3,0,20
963093,10/20 07:09 PM,F3XN,2,4,0,0,6
963092,10/20 07:08 PM,F3XN,2,24,0,0,26
963091,10/20 07:08 PM,F3XN,76,60,0,0,136
963090,10/20 07:07 PM,F3A,260,132,0,5,397
963089,10/20 07:06 PM,F3XN,11,9,0,0,20
963088,10/20 07:06 PM,F1N,0,0,0,0,0
963087,10/20 07:06 PM,F3XN,7102,6998,0,1,14101
963086,10/20 07:04 PM,F3XN,11,13,0,0,24
963085,10/20 07:04 PM,F6N,1,0,0,0,1
963084,10/20 07:03 PM,F1A,0,0,0,0,0
963083,10/20 07:03 PM,F3XN,100,4,0,0,104
963082,10/20 07:02 PM,F3XN,84,39,0,123,246
963081,10/20 07:01 PM,F6N,1,0,0,0,1
963080,10/20 07:01 PM,F3XN,2,4,0,0,6
963079,10/20 07:00 PM,F3XN,18,35,0,0,53
963078,10/20 07:00 PM,F3XN,49,20,0,33,102
963077,10/20 06:59 PM,F3XN,0,15,0,0,15
963076,10/20 06:59 PM,F6N,9,0,0,0,9
963075,10/20 06:58 PM,F24N,0,0,9,0,9
963074,10/20 06:58 PM,F3XA,54,8,0,26,88
963073,10/20 06:56 PM,F3XN,4,12,0,0,16
963072,10/20 06:54 PM,F3XN,91,22,0,0,113
963071,10/20 06:54 PM,F6N,3,0,0,0,3
963070,10/20 06:53 PM,F6N,1,0,0,0,1
963069,10/20 06:52 PM,F3XN,2,7,0,2,11
963068,10/20 06:51 PM,F6N,1,0,0,0,1
963067,10/20 06:51 PM,F24N,0,0,6,0,6
963066,10/20 06:50 PM,F6N,13,0,0,0,13
963065,10/20 06:48 PM,F6N,3,0,0,0,3
963064,10/20 06:48 PM,F6N,7,0,0,0,7
963063,10/20 06:47 PM,F6N,3,0,0,0,3
963062,10/20 06:46 PM,F3XN,28,4,0,0,32
963061,10/20 06:44 PM,F3XN,0,0,0,0,0
963060,10/20 06:44 PM,F6N,3,0,0,0,3
