filing_number,time_filed,form_type,skeda_lines,skedb_lines,skede_lines,other_lines,total_lines
959818,10/15 11:59 PM,F3T,0,1,0,0,1
959817,10/15 11:58 PM,F3N,4308,295,0,3,4606
959816,10/15 11:58 PM,F3XN,0,0,0,0,0
959815,10/15 11:57 PM,F3N,3,4,0,1,8
959814,10/15 11:57 PM,F3N,370,182,0,1,553
959813,10/15 11:56 PM,F3N,38,62,0,1,101
959812,10/15 11:55 PM,F3N,22,30,0,5,57
959811,10/15 11:55 PM,F3N,80,53,0,5,138
959810,10/15 11:55 PM,F3XN,1,0,2,3,6
959809,10/15 11:54 PM,F3XN,0,0,0,7,7
959808,10/15 11:54 PM,F3XN,1,0,2,3,6
959807,10/15 11:53 PM,F3N,1349,470,0,7,1826
959806,10/15 11:53 PM,F3XN,1,0,2,3,6
959805,10/15 11:52 PM,F3XN,1,0,2,3,6
959804,10/15 11:52 PM,F3XA,0,1,0,4,5
959803,10/15 11:51 PM,F3XN,11,25,0,0,36
959802,10/15 11:51 PM,F3N,161,58,0,10,229
959801,10/15 11:51 PM,F3XN,0,0,0,0,0
959800,10/15 11:50 PM,F3XN,19,0,0,0,19
959799,10/15 11:50 PM,F3N,0,1,0,0,1
959798,10/15 11:49 PM,F3XN,19,100,142,6,267
959797,10/15 11:48 PM,F3XN,0,0,0,6,6
959796,10/15 11:47 PM,F3A,66,70,0,0,136
959795,10/15 11:47 PM,F3N,329,197,0,0,526
959794,10/15 11:45 PM,F3XN,71,45,0,0,116
959793,10/15 11:44 PM,F3XN,9,52,35,0,96
959792,10/15 11:43 PM,F1A,0,0,0,0,0
959791,10/15 11:43 PM,F3XN,0,0,0,3,3
959790,10/15 11:41 PM,F3N,152,87,0,3,242
959789,10/15 11:41 PM,F3XN,4,23,0,1,28
959788,10/15 11:40 PM,F3XN,0,0,0,0,0
959787,10/15 11:39 PM,F3N,2760,471,0,7,3238
959786,10/15 11:39 PM,F3XN,2,3,5,0,10
959785,10/15 11:38 PM,F3N,27,18,0,2,47
959784,10/15 11:38 PM,F3N,21,3,0,0,24
959783,10/15 11:36 PM,F3N,193,240,0,3,436
959782,10/15 11:36 PM,F3XN,24,9,0,8,41
959781,10/15 11:35 PM,F3N,290,210,0,0,500
959780,10/15 11:32 PM,F3N,98,75,0,0,173
959779,10/15 11:31 PM,F3N,1309,276,0,1,1586
959778,10/15 11:30 PM,F3XN,7,118,116,0,241
959777,10/15 11:30 PM,F3XN,30,1227,0,8,1265
959776,10/15 11:30 PM,F3N,337,164,0,7,508
959775,10/15 11:28 PM,F3N,43,75,0,0,118
959774,10/15 11:28 PM,F3XN,3,2,0,0,5
959773,10/15 11:27 PM,F3XN,16,0,0,0,16
959772,10/15 11:27 PM,F3N,764,177,0,6,947
959771,10/15 11:27 PM,F3XN,0,0,0,0,0
959770,10/15 11:27 PM,F3N,252,133,0,0,385
959769,10/15 11:25 PM,F3N,6,16,0,0,22
959768,10/15 11:24 PM,F3N,177,276,0,2,455
959767,10/15 11:22 PM,F3A,64,29,0,3,96
959766,10/15 11:21 PM,F24N,0,0,2,0,2
959765,10/15 11:21 PM,F3XN,0,0,0,0,0
959764,10/15 11:21 PM,F3N,0,12,0,0,12
959763,10/15 11:21 PM,F3PN,29,282,0,15,326
959762,10/15 11:20 PM,F3N,338,159,0,5,502
959761,10/15 11:18 PM,F3N,683,127,0,15,825
959760,10/15 11:16 PM,F3XN,2402,1361,0,4,3767
959759,10/15 11:16 PM,F3N,1,2,0,3,6
959758,10/15 11:15 PM,F99,0,0,0,0,0
959757,10/15 11:14 PM,F3N,0,1,0,4,5
959756,10/15 11:14 PM,F3XN,60,13,0,1,74
959755,10/15 11:14 PM,F3N,26,27,0,14,67
959754,10/15 11:14 PM,F3N,87,123,0,0,210
959753,10/15 11:14 PM,F3N,0,0,0,15,15
959752,10/15 11:12 PM,F3XN,34,79,3,0,116
959751,10/15 11:10 PM,F3XA,16,17,0,12,45
959750,10/15 11:10 PM,F3XN,1354,154,14,0,1522
959749,10/15 11:09 PM,F3N,137,133,0,1,271
959748,10/15 11:08 PM,F3XN,0,0,0,0,0
959747,10/15 11:08 PM,F3N,148,79,0,0,227
959746,10/15 11:08 PM,F3XA,3,13,0,0,16
959745,10/15 11:06 PM,F3N,350,400,0,57,807
959744,10/15 11:05 PM,F3XA,8,5,0,6,19
959743,10/15 11:04 PM,F3N,985,137,0,0,1122
959742,10/15 11:03 PM,F3N,71,70,0,1,142
959741,10/15 11:03 PM,F3XN,6,27,0,0,33
959740,10/15 11:03 PM,F3N,448,163,0,1,612
959739,10/15 11:02 PM,F24N,0,0,5,0,5
959738,10/15 11:02 PM,F3XN,0,0,0,0,0
959737,10/15 11:02 PM,F3N,509,195,0,0,704
959736,10/15 11:02 PM,F99,0,0,0,0,0
959735,10/15 11:01 PM,F3XN,0,1,0,0,1
959734,10/15 11:01 PM,F3N,358,173,0,2,533
959733,10/15 11:00 PM,F3XN,8,53,0,0,61
959732,10/15 11:00 PM,F3N,68,36,0,3,107
959731,10/15 11:00 PM,F3N,327,157,0,0,484
959730,10/15 10:59 PM,F24N,0,0,1,0,1
959729,10/15 10:59 PM,F3XN,0,0,0,0,0
959728,10/15 10:59 PM,F99,0,0,0,0,0
959727,10/15 10:58 PM,F3N,69,95,0,11,175
959726,10/15 10:58 PM,F3N,2,12,0,5,19
959725,10/15 10:57 PM,F3N,109,72,0,2,183
959724,10/15 10:57 PM,F3XN,1,8,0,13,22
959723,10/15 10:56 PM,F3N,42,79,0,29,150
959722,10/15 10:56 PM,F3N,0,5,0,15,20
959721,10/15 10:55 PM,F3XN,492,50,4,1,547
959720,10/15 10:55 PM,F3N,502,222,0,12,736
959719,10/15 10:55 PM,F3N,11,15,0,11,37
959718,10/15 10:55 PM,F3N,1,16,0,0,17
959717,10/15 10:54 PM,F3N,1,0,0,0,1
959716,10/15 10:52 PM,F3N,55,111,0,12,178
959715,10/15 10:51 PM,F3XN,0,0,0,0,0
959714,10/15 10:50 PM,F3XN,0,4,0,0,4
959713,10/15 10:50 PM,F3N,107,97,0,4,208
959712,10/15 10:49 PM,F3N,1352,200,0,15,1567
959711,10/15 10:48 PM,F3N,472,371,0,5,848
959710,10/15 10:48 PM,F3XN,106,75,0,14,195
959709,10/15 10:47 PM,F3N,662,183,0,3,848
959708,10/15 10:45 PM,F3N,253,117,0,17,387
959707,10/15 10:44 PM,F3N,267,223,0,12,502
959706,10/15 10:43 PM,F3N,621,215,0,0,836
959705,10/15 10:43 PM,F3N,7,5,0,1,13
959704,10/15 10:42 PM,F3XN,20,6,7,7,40
959703,10/15 10:42 PM,F3N,3,17,0,0,20
959702,10/15 10:42 PM,F3XN,80,2,0,2,84
959701,10/15 10:41 PM,F3N,65,34,0,5,104
959700,10/15 10:40 PM,F3N,1,2,0,0,3
959699,10/15 10:40 PM,F3XN,8,9,0,0,17
959698,10/15 10:36 PM,F3XN,1,0,0,0,1
959697,10/15 10:35 PM,F5N,0,0,1,0,1
959696,10/15 10:35 PM,F3N,400,174,0,0,574
959695,10/15 10:34 PM,F3N,151,70,0,0,221
959694,10/15 10:33 PM,F3XN,0,0,0,0,0
959693,10/15 10:33 PM,F3N,0,0,0,11,11
959692,10/15 10:33 PM,F3XN,351,23,0,0,374
959691,10/15 10:32 PM,F3XN,0,1,0,0,1
959690,10/15 10:32 PM,F3XN,26,32,0,0,58
959689,10/15 10:32 PM,F99,0,0,0,0,0
959688,10/15 10:32 PM,F3XN,6,1,0,10,17
959687,10/15 10:31 PM,F3N,0,0,0,1,1
959686,10/15 10:31 PM,F3N,1916,382,0,0,2298
959685,10/15 10:31 PM,F3A,44,48,0,2,94
959684,10/15 10:30 PM,F3N,47,56,0,12,115
959683,10/15 10:30 PM,F3N,135,78,0,13,226
959682,10/15 10:29 PM,F3N,0,0,0,5,5
959681,10/15 10:28 PM,F3N,45,163,0,6,214
959680,10/15 10:27 PM,F3XN,119,0,0,113,232
959679,10/15 10:27 PM,F3N,10,12,0,12,34
959678,10/15 10:26 PM,F3N,690,172,0,11,873
959677,10/15 10:25 PM,F3N,0,0,0,0,0
959676,10/15 10:25 PM,F3N,0,4,0,1,5
959675,10/15 10:25 PM,F3XN,0,1,0,0,1
959674,10/15 10:24 PM,F3XN,57,10,0,3,70
959673,10/15 10:24 PM,F3XN,0,0,0,0,0
959672,10/15 10:24 PM,F3XA,264,3,0,1,268
959671,10/15 10:24 PM,F3N,124,48,0,12,184
959670,10/15 10:23 PM,F3XN,5,0,0,0,5
959669,10/15 10:23 PM,F3XN,8,51,0,16,75
959668,10/15 10:23 PM,F3N,0,0,0,0,0
959667,10/15 10:22 PM,F3XN,0,4,0,6,10
959666,10/15 10:22 PM,F3N,116,92,0,0,208
959665,10/15 10:22 PM,F3N,4173,290,0,2,4465
959664,10/15 10:21 PM,F3N,0,0,0,0,0
959663,10/15 10:21 PM,F3N,318,140,0,2,460
959662,10/15 10:21 PM,F3XN,36,7,0,3,46
959661,10/15 10:21 PM,F3N,17,65,0,3,85
959660,10/15 10:21 PM,F3XN,1,0,0,0,1
959659,10/15 10:20 PM,F3XN,1,0,0,5,6
959658,10/15 10:20 PM,F3N,38,94,0,0,132
959657,10/15 10:19 PM,F3N,1,2,0,18,21
959656,10/15 10:19 PM,F3N,120,17,0,0,137
959655,10/15 10:19 PM,F3XN,22,1,0,0,23
959654,10/15 10:18 PM,F3XN,0,0,0,0,0
959653,10/15 10:18 PM,F3N,72,54,0,3,129
959652,10/15 10:18 PM,F3N,1,0,0,1,2
959651,10/15 10:17 PM,F3XN,0,0,0,0,0
959650,10/15 10:17 PM,F3N,23,46,0,1,70
959649,10/15 10:16 PM,F3N,0,0,0,6,6
959648,10/15 10:16 PM,F3N,108,109,0,96,313
959647,10/15 10:16 PM,F3N,98,63,0,5,166
959646,10/15 10:15 PM,F3XN,0,0,0,0,0
959645,10/15 10:15 PM,F3N,2813,266,0,4,3083
959644,10/15 10:15 PM,F3XN,57,11,0,3,71
959643,10/15 10:14 PM,F3XN,1,4,0,0,5
959642,10/15 10:13 PM,F3N,6,31,0,18,55
959641,10/15 10:13 PM,F1N,0,0,0,0,0
959640,10/15 10:12 PM,F3N,0,1,0,6,7
959639,10/15 10:11 PM,F3N,18,18,0,0,36
959638,10/15 10:11 PM,F3XN,0,0,0,4,4
959637,10/15 10:10 PM,F3N,4,0,0,0,4
959636,10/15 10:09 PM,F3N,127,149,0,4,280
959635,10/15 10:09 PM,F3N,0,0,0,8,8
959634,10/15 10:08 PM,F3XN,0,0,0,0,0
959633,10/15 10:05 PM,F3N,74,254,0,0,328
959632,10/15 10:03 PM,F3XN,140,77,0,0,217
959631,10/15 10:03 PM,F3N,341,128,0,8,477
959630,10/15 10:03 PM,F3XN,26,0,0,0,26
959629,10/15 10:01 PM,F3N,141,122,0,1,264
959628,10/15 10:00 PM,F3N,44,31,0,0,75
959627,10/15 10:00 PM,F3N,0,1,0,1,2
959626,10/15 10:00 PM,F3N,126,83,0,4,213
959625,10/15 09:59 PM,F3N,621,208,0,0,829
959624,10/15 09:58 PM,F3N,0,0,0,0,0
959623,10/15 09:57 PM,F3N,624,106,0,7,737
959622,10/15 09:57 PM,F3XN,60,21,0,0,81
959621,10/15 09:57 PM,F3N,140,114,0,0,254
959620,10/15 09:56 PM,F3N,0,0,0,0,0
959619,10/15 09:56 PM,F3N,352,177,0,10,539
959618,10/15 09:56 PM,F3N,5,96,0,8,109
959617,10/15 09:55 PM,F3N,158,118,0,3,279
959616,10/15 09:53 PM,F3N,178,113,0,2,293
959615,10/15 09:53 PM,F3N,134,110,0,0,244
959614,10/15 09:53 PM,F3N,78,50,0,5,133
959613,10/15 09:52 PM,F3XN,5,4,0,5,14
959612,10/15 09:52 PM,F3XN,14,17,0,0,31
959611,10/15 09:51 PM,F3N,160,137,0,1,298
959610,10/15 09:50 PM,F3N,1,8,0,1,10
959609,10/15 09:50 PM,F3N,0,0,0,12,12
959608,10/15 09:49 PM,F3XN,18,10,0,0,28
