filing_number,time_filed,form_type,skeda_lines,skedb_lines,skede_lines,other_lines,total_lines
968204,10/23 11:59 PM,F3N,1,5,0,0,6
968203,10/23 11:59 PM,F3N,1,0,0,0,1
968202,10/23 11:59 PM,F3N,20,15,0,0,35
968201,10/23 11:57 PM,F24N,0,0,2,0,2
968200,10/23 11:56 PM,F3XN,27,10,0,17,54
968199,10/23 11:56 PM,F3XN,61,25,0,1,87
968198,10/23 11:55 PM,F3XN,91,254,0,20,365
968197,10/23 11:53 PM,F6N,5,0,0,0,5
968196,10/23 11:53 PM,F6N,1,0,0,0,1
968195,10/23 11:51 PM,F3XN,148,62,0,114,324
968194,10/23 11:49 PM,F3N,136,89,0,1,226
968193,10/23 11:49 PM,F3N,53,28,0,3,84
968192,10/23 11:48 PM,F3XN,91,130,0,31,252
968191,10/23 11:48 PM,F3N,149,33,0,3,185
968190,10/23 11:48 PM,F3N,5,28,0,1,34
968189,10/23 11:48 PM,F3N,145,29,0,0,174
968188,10/23 11:48 PM,F3XN,12,20,0,52,84
968187,10/23 11:47 PM,F6N,1,0,0,0,1
968186,10/23 11:47 PM,F3XN,96,7,0,117,220
968185,10/23 11:46 PM,F3A,2813,266,0,4,3083
968184,10/23 11:46 PM,F6N,3,0,0,0,3
968183,10/23 11:45 PM,F3XN,0,0,0,0,0
968182,10/23 11:44 PM,F3XN,1,4,0,5,10
968181,10/23 11:44 PM,F3N,9,3,0,0,12
968180,10/23 11:43 PM,F3N,1379,111,0,0,1490
968179,10/23 11:43 PM,F3N,74,13,0,15,102
968178,10/23 11:42 PM,F3N,5,11,0,2,18
968177,10/23 11:42 PM,F3XN,0,0,0,0,0
968176,10/23 11:42 PM,F3N,35,12,0,0,47
968175,10/23 11:42 PM,F6N,9,0,0,0,9
968174,10/23 11:41 PM,F3XN,0,3,0,0,3
968173,10/23 11:40 PM,F3XA,56,137,0,35,228
968172,10/23 11:40 PM,F6N,3,0,0,0,3
968171,10/23 11:40 PM,F3N,11,2,0,5,18
968170,10/23 11:39 PM,F3N,43,9,0,1,53
968169,10/23 11:39 PM,F3XN,0,0,0,3,3
968168,10/23 11:36 PM,F3N,44,26,0,11,81
968167,10/23 11:35 PM,F3N,48,120,0,0,168
968166,10/23 11:34 PM,F3XN,2,7,0,0,9
968165,10/23 11:33 PM,F3XN,0,0,0,0,0
968164,10/23 11:33 PM,F6N,2,0,0,0,2
968163,10/23 11:32 PM,F6N,3,0,0,0,3
968162,10/23 11:32 PM,F3XN,0,4,0,0,4
968161,10/23 11:31 PM,F3XN,49,30,0,159,238
968160,10/23 11:30 PM,F3N,168,27,0,0,195
968159,10/23 11:29 PM,F3N,184,65,0,10,259
968158,10/23 11:28 PM,F3N,83,55,0,0,138
968157,10/23 11:27 PM,F3N,12,14,0,3,29
968156,10/23 11:27 PM,F3N,1428,102,0,3,1533
968155,10/23 11:27 PM,F3N,330,106,0,0,436
968154,10/23 11:26 PM,F3XN,8,204,0,3,215
968153,10/23 11:25 PM,F3A,70,42,0,3,115
968152,10/23 11:24 PM,F3N,139,23,0,9,171
968151,10/23 11:22 PM,F3XN,16,9,0,4,29
968150,10/23 11:21 PM,F3XN,19,14,0,20,53
968149,10/23 11:19 PM,F3N,231,65,0,0,296
968148,10/23 11:18 PM,F3N,119,31,0,12,162
968147,10/23 11:18 PM,F3N,13,17,0,5,35
968146,10/23 11:18 PM,F3XN,2,2,0,0,4
968145,10/23 11:17 PM,F6N,2,0,0,0,2
968144,10/23 11:15 PM,F3N,92,29,0,0,121
968143,10/23 11:13 PM,F3N,31,32,0,3,66
968142,10/23 11:12 PM,F3N,24,25,0,46,95
968141,10/23 11:11 PM,F3N,2,5,0,8,15
968140,10/23 11:11 PM,F3XN,20,60,0,0,80
968139,10/23 11:10 PM,F3XN,0,0,0,0,0
968138,10/23 11:10 PM,F3XN,18,20,0,12,50
968137,10/23 11:09 PM,F3XN,34,138,0,123,295
968136,10/23 11:09 PM,F3XN,2,8,0,11,21
968135,10/23 11:08 PM,F3N,3,2,0,3,8
968134,10/23 11:07 PM,F3N,3,7,0,0,10
968133,10/23 11:07 PM,F24N,0,0,302,0,302
968132,10/23 11:04 PM,F3N,4,29,0,2,35
968131,10/23 11:04 PM,F3LN,0,0,0,1,1
968130,10/23 11:04 PM,F3XN,1,30,0,0,31
968129,10/23 11:03 PM,F3N,35,27,0,0,62
968128,10/23 11:01 PM,F3N,0,3,0,0,3
968127,10/23 10:59 PM,F3XN,4,6,0,0,10
968126,10/23 10:59 PM,F3XN,243,169,0,83,495
968125,10/23 10:57 PM,F6N,1,0,0,0,1
968124,10/23 10:56 PM,F3XN,24,23,0,49,96
